Year,Series,Units,Groupe,Value
2015,Series1,USD,A,1
2015,Series1,USD,B,3
2015,Series1,USD,,2
2016,Series1,USD,A,1
2016,Series1,USD,B,3
2016,Series1,USD,,2
2015,Series2,USD,A,1
2015,Series2,USD,B,3
2015,Series2,USD,,2
2016,Series2,USD,A,1
2016,Series2,USD,B,3
2016,Series2,USD,,2
2015,Series1,CAD,A,1
2015,Series1,CAD,B,3
2015,Series1,CAD,,2
2016,Series1,CAD,A,1
2016,Series1,CAD,B,3
2016,Series1,CAD,,2
2015,Series2,CAD,A,1
2015,Series2,CAD,B,3
2015,Series2,CAD,,2
2016,Series2,CAD,A,1
2016,Series2,CAD,B,3
2016,Series2,CAD,,2
