Year,Series,Units,Groupe,Value
2015,Série1,USD,A_fr,1
2015,Série1,USD,B_fr,3
2015,Série1,USD,,2
2016,Série1,USD,A_fr,1
2016,Série1,USD,B_fr,3
2016,Série1,USD,,2
2015,Série2,USD,A_fr,1
2015,Série2,USD,B_fr,3
2015,Série2,USD,,2
2016,Série2,USD,A_fr,1
2016,Série2,USD,B_fr,3
2016,Série2,USD,,2
2015,Série1,CAD,A_fr,1
2015,Série1,CAD,B_fr,3
2015,Série1,CAD,,2
2016,Série1,CAD,A_fr,1
2016,Série1,CAD,B_fr,3
2016,Série1,CAD,,2
2015,Série2,CAD,A_fr,1
2015,Série2,CAD,B_fr,3
2015,Série2,CAD,,2
2016,Série2,CAD,A_fr,1
2016,Série2,CAD,B_fr,3
2016,Série2,CAD,,2
