Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1-1,complete,,,,Canada,,line
#1-1-2,complete,,,,Canada,,line
#1-1-3,complete,,,,Canada,,line
#1-2-1,complete,,,,Canada,,line
#1-2-2,complete,,,,Canada,,line
#1-2-3,complete,,,,Canada,,line
#1-3-1,complete,,,,,,line
#1-3-2,complete,,,,,,line
#1-3-3,complete,,,,,,line
#1-4-1,complete,,,,,,line
#1-4-2,complete,,,,,,line
#1-4-3,complete,,,,,,line
#1-4-4,complete,,,,,,line
#10-1-1,notstarted,,,,,,line
#10-2-1,notstarted,,,,,,line
#10-3-1,notstarted,,,,,,line
#10-4-1,notstarted,,,,,,line
#10-4-2,notstarted,,,,,,line
#10-5-1,notstarted,,,,,,line
#10-6-1,notstarted,,,,,,line
#10-7-1,notstarted,,,,,,line
#10-7-2,notstarted,,,,,,line
#10-7-3,notstarted,,,,,,line
#10-7-4,notstarted,,,,,,line
#10-a-1,notstarted,,,,,,line
#10-b-1,notstarted,,,,,,line
#10-c-1,notstarted,,,,,,line
#11-1-1,notstarted,,,,,,line
#11-2-1,notstarted,,,,,,line
#11-3-1,notstarted,,,,,,line
#11-3-2,notstarted,,,,,,line
#11-4-1,notstarted,,,,,,line
#11-5-1,notstarted,,,,,,line
#11-5-2,notstarted,,,,,,line
#11-6-1,notstarted,,,,,,line
#11-6-2,notstarted,,,,,,line
#11-7-1,notstarted,,,,,,line
#11-7-2,notstarted,,,,,,line
#11-a-1,notstarted,,,,,,line
#11-b-1,notstarted,,,,,,line
#11-b-2,notstarted,,,,,,line
#12-1-1,notstarted,,,,,,line
#12-2-1,notstarted,,,,,,line
#12-2-2,notstarted,,,,,,line
#12-3-1,notstarted,,,,,,line
#12-4-1,notstarted,,,,,,line
#12-4-2,notstarted,,,,,,line
#12-5-1,notstarted,,,,,,line
#12-6-1,notstarted,,,,,,line
#12-7-1,notstarted,,,,,,line
#12-8-1,notstarted,,,,,,line
#12-a-1,notstarted,,,,,,line
#12-b-1,notstarted,,,,,,line
#12-c-1,notstarted,,,,,,line
#13-1-1,notstarted,,,,,,line
#13-1-2,notstarted,,,,,,line
#13-1-3,notstarted,,,,,,line
#13-2-1,notstarted,,,,,,line
#13-2-2,notstarted,,,,,,line
#13-3-1,notstarted,,,,,,line
#13-a-1,notstarted,,,,,,line
#13-b-1,notstarted,,,,,,line
#14-1-1,notstarted,,,,,,line
#14-2-1,notstarted,,,,,,line
#14-3-1,notstarted,,,,,,line
#14-4-1,notstarted,,,,,,line
#14-5-1,notstarted,,,,,,line
#14-6-1,notstarted,,,,,,line
#14-7-1,notstarted,,,,,,line
#14-a-1,notstarted,,,,,,line
#14-b-1,notstarted,,,,,,line
#14-c-1,notstarted,,,,,,line
#15-1-1,notstarted,,,,,,line
#15-1-2,notstarted,,,,,,line
#15-2-1,notstarted,,,,,,line
#15-3-1,notstarted,,,,,,line
#15-4-1,notstarted,,,,,,line
#15-4-2,notstarted,,,,,,line
#15-5-1,notstarted,,,,,,line
#15-6-1,notstarted,,,,,,line
#15-7-1,notstarted,,,,,,line
#15-8-1,notstarted,,,,,,line
